id,views,comments
aejj7xRKSwY,12,149239
MiFJ5MuMYKU,0,1760
8835cCQmTYM,4,21981
394RKg-6wJ8,1,8987
sN2U5KiB6uE,2,11220
s8JoF2hAKXM,5,84876
utXXKXUOQpo,0,1498
At2kJmnzE6Y,1,5986
BjRjQQWjKiQ,7,1089
3yWazDzf73M,0,1624
9knn6WiSpXw,0,7217
L-dgAoINtoM,1,3352
9vsNkOgR9MY,0,2331
LGttUb8QhjA,1,4047
sfG4a8qBWso,0,1732
4Z7jbaQuTFw,2,1738
_JORoS_cYZI,1,20576
Gdysrqbg5bo,3,5508
BWaA5yFw1yQ,30,141508
dWfY0MsftVw,3,3423
dk0ZBMq9NwU,19,5035
M_z6kPacAzA,6,2967
wushD_VlFV0,0,1436
auMby7ok3qY,1,1154
73JeEkfJrjc,0,1195
HYs-RgG5xnE,2,1823
DxmqYE7oSlg,3,5613
D_WFIumCdSg,1,5627
4XXkmQP1gAE,1,3265
yjfE-dp1boQ,22,49977
bTPz0gu5uxo,4,4232
P2hRmi-gQSo,25,78705
f8I4ZdSGSIo,0,1611
8-5pOnz8seU,1,6284
7mKUveGHz_U,90,60936
Fecqh2CnZ-M,2,18472
Mm9jIAPTU3Y,0,1510
xw3DHIplYvU,1,2172
Z-M4xYIC4wc,1,5160
nXGvg1FSyCc,8,5107
8kOpciW6nHk,0,1619
0skaZM6Yn4s,0,2322
RLvNp57CClM,1,3229
3RmZpEefCcA,0,2275
Km9v-kZv3Zw,2,4670
P6LyJ_bTciE,0,2193
dzlvbAm9jCU,0,3390
MlPT-SeLUjE,0,5955
tKoWfwnkwMM,220,109299
5iKMsM-Lj1E,0,1825
_r10QGejmQo,11,2694
FKVzmFXK96U,5,2293
v4VjikYsx7E,1,4028
Mw2iImZq2Mk,8,24101
kiFdUXiRP_k,8,1232
Z21RcuyEu3A,4,10935
yDZgrlUYWMM,0,2693
0iN3GfBUuHY,3,2403
IItV40PyDmI,3,7353
H_ENz9kjJFg,8,12783
9dC43hQ_mZE,33,6691
fcv1K7QsrvI,25,168633
gQIPKYsi3uk,8,5354
a8CfDs47NZY,0,3441
sZNNczG2MXA,0,4260
8HHXzL392pM,6,109406
zQIG5c0hkkQ,0,1493
PhLBNT7tyNo,15,1556
uSLA-66IH8g,10,3948
3g9QxrH7flI,0,1383
H1raGk1qI54,11,47268
k_65f4WGOYY,0,1293
pC2uZ5D6jsQ,30,31629
wWtNKUtP2vQ,8,40460
qmhgaiBjM58,0,1598
zjoMts0OByw,37,22399
ucMy_naRNgY,5,11967
ZdxITMK4wME,1,8693
btJirYz2Ov0,1,2163
mjdoW1J0Gi8,0,1465
vVnervtNa5E,0,3481
OuWmRkBJ7BA,2,19163
6wk4I4VNCxE,6,5411
RHDIR-c6UmI,0,3658
mCu-gwMEEAY,0,1322
KEMWyO9KsGU,0,1738
J4XHNpBDTq8,8,5006
DlHfGf-6Qas,23,31368
NBHdhz1eR2A,0,1160
wDPaKay5aBg,0,7201
kMXDg-9oCw0,4,7124
8QI_ODKhlQo,7,98504
jCqGeizYdvc,16,47621
j3NZgViiViw,0,3477
S54fz7p9sPs,5,9869
ZM8cbDDxjt0,2,13662
KEhQmGVP234,0,1234
EVd_9a9m5sw,12,9580
Mn3ki_Q8duY,4,16728
Avs8Y0jACg0,12,120643
uiDYeHpuQWI,2,2320
IxEYELYCPfo,57,11724
IOdrtXW9k48,0,2310
cmsqHMR7-iY,1,1912
52EM8lgQDLI,0,3897
nyn_IMX6UKE,0,1269
gdjtW3ymdU4,0,7158
cYhA4UaKLCk,12,3475
QeBw4dE-d3k,0,2385
CD1HYIc0QAM,3,3906
mNLzu_mdWNQ,0,1628
Rg2ZInjs8bA,7,28852
I50CVt4PP9Y,8,8583
Gsa3oF_Z118,0,40661
xWQt3af4ENA,0,1193
gkU2niFsMnY,0,1820
T6WZKs6iRaM,0,1202
IzJCoOnSAo8,1,1042
Mbw-Q0mSjZ0,0,3527
2orP0-dS9Fw,1,3927
JV9Abaz4ydc,0,12864
jPW8_zLQXtA,50,25391
HjTIi40gt9o,1,9139
ZV7T5sGZBwg,6,4323
A1du6ujyqOE,0,1864
q68Lunl9TBs,8,31779
LLJ0tVed6mw,0,3969
CoJyRCP3CXQ,0,1458
1oKmi8ifBqI,6,7338
UJpXcDG1E7A,0,3479
lNz9OycyxRA,1,1453
Ggqh_-2TXrs,0,1180
GG9BO1GQtFQ,1,3734
